Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 2820----------------------------------------
0.445702;0.0491019;-0.988139
0.445702;0.0492019;-0.98811
0.445702;0.0492019;-0.98811
0.445702;0.0492019;-0.98811
0.445702;0.0493019;-0.988081
0.445702;0.0493019;-0.988081
0.445702;0.0493019;-0.988081
0.445702;0.0494019;-0.988052
0.445702;0.0494019;-0.988052
0.445702;0.0494019;-0.988052
0.445702;0.0495019;-0.988024
0.445702;0.0495019;-0.988024
0.445702;0.0495019;-0.988024
0.445702;0.0496019;-0.987995
0.445702;0.0496019;-0.987995
0.445702;0.0496019;-0.987995
0.445702;0.0497019;-0.987966
0.445702;0.0497019;-0.987966
0.445702;0.0497019;-0.987966
0.445702;0.0498019;-0.987937
0.445702;0.0498019;-0.987937
0.445702;0.0498019;-0.987937
0.445702;0.0499019;-0.987922
0.445702;0.0499019;-0.987922
0.445702;0.0499019;-0.987922
0.445702;0.0500019;-0.987895
0.445702;0.0500019;-0.987895
0.445702;0.0500019;-0.987895
0.445702;0.0501019;-0.987869
0.445702;0.0501019;-0.987869
0.445702;0.0501019;-0.987869
0.445702;0.0502019;-0.987842
0.445702;0.0502019;-0.987842
0.445702;0.0502019;-0.987842
0.445702;0.0503019;-0.987816
0.445702;0.0503019;-0.987816
0.445702;0.0503019;-0.987816
0.445702;0.0504019;-0.987789
0.445702;0.0504019;-0.987789
0.445702;0.0504019;-0.987789
0.445702;0.0505019;-0.987763
0.445702;0.0505019;-0.987763
0.445702;0.0505019;-0.987763
0.445702;0.0506019;-0.987736
0.445702;0.0506019;-0.987736
0.445702;0.0506019;-0.987736
0.445702;0.0507019;-0.987709
0.445702;0.0507019;-0.987709
0.445702;0.0507019;-0.987709
0.445702;0.0508018;-0.987632
0.445702;0.0508018;-0.987632
0.445702;0.0508018;-0.987632
0.445702;0.0509018;-0.98762
0.445702;0.0509018;-0.98762
0.445702;0.0509018;-0.98762
0.445702;0.0510019;-0.987607
0.445702;0.0510019;-0.987607
0.445702;0.0510019;-0.987607
0.445702;0.0511019;-0.987595
0.445702;0.0511019;-0.987595
0.445702;0.0511019;-0.987595
0.445702;0.0512019;-0.987583
0.445702;0.0512019;-0.987583
0.445702;0.0512019;-0.987583
0.445702;0.0513019;-0.98757
0.445702;0.0513019;-0.98757
0.445702;0.0513019;-0.98757
0.445702;0.0514019;-0.987558
0.445702;0.0514019;-0.987558
0.445702;0.0514019;-0.987558
0.445702;0.0515019;-0.987545
0.445702;0.0515019;-0.987545
0.445702;0.0515019;-0.987545
0.445702;0.0516019;-0.987533
0.445702;0.0516019;-0.987533
0.445702;0.0516019;-0.987533
0.445702;0.0517019;-0.987521
0.445702;0.0517019;-0.987521
0.445702;0.0517019;-0.987521
0.445702;0.0518019;-0.987508
0.445702;0.0518019;-0.987508
0.445702;0.0518019;-0.987508
0.445702;0.0519019;-0.987496
0.445702;0.0519019;-0.987496
0.445702;0.0519019;-0.987496
0.445702;0.0520019;-0.987484
0.445702;0.0520019;-0.987484
0.445702;0.0520019;-0.987484
0.445702;0.0521019;-0.987471
0.445702;0.0521019;-0.987471
0.445702;0.0521019;-0.987471
0.445702;0.0522019;-0.987459
0.445702;0.0522019;-0.987459
0.445702;0.0522019;-0.987459
0.445702;0.0523019;-0.987446
0.445702;0.0523019;-0.987446
0.445702;0.0523019;-0.987446
0.445702;0.0524019;-0.987434
0.445702;0.0524019;-0.987434
0.445702;0.0524019;-0.987434
0.445702;0.0525019;-0.987393
0.445702;0.0525019;-0.987393
0.445702;0.0525019;-0.987393
0.445702;0.0526019;-0.987378
0.445702;0.0526019;-0.987378
0.445702;0.0526019;-0.987378
0.445702;0.0527019;-0.987362
0.445702;0.0527019;-0.987362
0.445702;0.0527019;-0.987362
0.445702;0.0528019;-0.987347
0.445702;0.0528019;-0.987347
0.445702;0.0528019;-0.987347
0.445702;0.0529019;-0.987331
0.445702;0.0529019;-0.987331
0.445702;0.0529019;-0.987331
0.445702;0.0530019;-0.987316
0.445702;0.0530019;-0.987316
0.445702;0.0530019;-0.987316
0.445702;0.0531019;-0.9873
0.445702;0.0531019;-0.9873
0.445702;0.0531019;-0.9873
0.445702;0.0532019;-0.987285
