Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 688----------------------------------------
0.308576;-0.0694023;-1.14908
0.308576;-0.0693024;-1.14895
0.308576;-0.0692024;-1.14896
0.308576;-0.0691024;-1.14896
0.308576;-0.0690024;-1.14897
0.308576;-0.0689024;-1.14898
0.308576;-0.0688023;-1.14898
0.308576;-0.0687023;-1.14908
0.308576;-0.0686023;-1.14909
0.308576;-0.0685023;-1.1491
0.308576;-0.0684023;-1.1491
0.308576;-0.0683023;-1.14911
0.308576;-0.0682023;-1.14912
0.308576;-0.0681023;-1.14912
0.308576;-0.0680023;-1.14913
0.308576;-0.0679023;-1.14913
0.308576;-0.0678023;-1.14914
0.308576;-0.0677023;-1.14915
0.308576;-0.0676023;-1.14915
0.308576;-0.0675023;-1.14916
0.308576;-0.0674023;-1.14917
0.308576;-0.0673024;-1.14877
0.308576;-0.0672024;-1.14878
0.308576;-0.0671024;-1.14879
0.308576;-0.0670023;-1.1488
0.308576;-0.0669023;-1.14881
0.308576;-0.0668023;-1.14882
0.308576;-0.0667023;-1.14883
0.308576;-0.0666023;-1.14884
0.308576;-0.0665023;-1.14914
0.308576;-0.0664023;-1.14915
0.308576;-0.0663023;-1.14915
0.308576;-0.0662023;-1.14916
0.308576;-0.0661023;-1.14917
0.308576;-0.0660023;-1.14918
0.308576;-0.0659023;-1.14918
0.308576;-0.0658023;-1.14919
0.308576;-0.0657023;-1.1492
0.308576;-0.0656023;-1.14921
0.308576;-0.0655023;-1.14921
0.308576;-0.0654024;-1.14922
0.308576;-0.0653024;-1.14923
0.308576;-0.0652024;-1.14924
0.308576;-0.0651024;-1.14924
0.308576;-0.0650024;-1.14925
0.308576;-0.0649024;-1.14926
0.308576;-0.0648023;-1.14927
0.308576;-0.0647023;-1.14927
0.308576;-0.0646023;-1.14928
0.308576;-0.0645023;-1.14929
0.308576;-0.0644023;-1.14906
0.308576;-0.0643023;-1.14907
0.308576;-0.0642023;-1.14908
0.308576;-0.0641023;-1.14909
0.308576;-0.0640023;-1.1491
0.308576;-0.0639023;-1.14911
0.308576;-0.0638023;-1.14912
0.308576;-0.0637023;-1.14913
0.308576;-0.0636023;-1.14914
0.308576;-0.0635023;-1.14915
0.308576;-0.0634024;-1.14973
0.308576;-0.0633024;-1.14974
0.308576;-0.0632024;-1.14974
0.308576;-0.0631023;-1.14975
0.308576;-0.0630023;-1.14975
0.308576;-0.0629023;-1.14975
0.308576;-0.0628023;-1.14976
0.308576;-0.0627023;-1.14976
0.308576;-0.0626023;-1.14976
0.308576;-0.0625023;-1.14971
0.308576;-0.0624023;-1.14972
0.308576;-0.0623023;-1.14972
0.308576;-0.0622023;-1.14973
0.308576;-0.0621023;-1.14973
0.308576;-0.0620023;-1.14973
0.308576;-0.0619023;-1.14974
0.308576;-0.0618023;-1.14974
0.308576;-0.0617023;-1.14975
0.308576;-0.0616023;-1.14975
0.308576;-0.0615024;-1.1501
0.308576;-0.0614024;-1.1501
0.308576;-0.0613024;-1.1501
0.308576;-0.0612024;-1.1501
0.308576;-0.0611023;-1.1501
0.308576;-0.0610023;-1.1501
0.308576;-0.0609023;-1.15009
0.308576;-0.0608023;-1.15009
0.308576;-0.0607023;-1.15009
0.308576;-0.0606023;-1.15009
0.308576;-0.0605023;-1.14987
0.308576;-0.0604023;-1.14987
0.308576;-0.0603023;-1.14987
0.308576;-0.0602023;-1.14988
0.308576;-0.0601023;-1.14988
0.308576;-0.0600023;-1.14988
0.308576;-0.0599023;-1.14988
0.308576;-0.0598023;-1.14988
0.308576;-0.0597023;-1.14988
0.308576;-0.0596023;-1.14988
0.308576;-0.0595024;-1.14973
0.308576;-0.0594024;-1.14974
0.308576;-0.0593024;-1.14974
0.308576;-0.0592024;-1.14974
0.308576;-0.0591023;-1.14975
0.308576;-0.0590023;-1.14975
0.308576;-0.0589023;-1.14976
0.308576;-0.0588023;-1.14976
0.308576;-0.0587023;-1.14976
0.308576;-0.0586023;-1.14928
0.308576;-0.0585023;-1.14929
0.308576;-0.0584023;-1.1493
0.308576;-0.0583023;-1.14931
0.308576;-0.0582023;-1.14932
0.308576;-0.0581023;-1.14933
0.308576;-0.0580023;-1.14934
0.308576;-0.0579023;-1.14935
0.308576;-0.0578023;-1.14937
0.308576;-0.0577023;-1.14938
0.308576;-0.0576024;-1.14947
0.308576;-0.0575024;-1.14948
0.308576;-0.0574024;-1.14949
0.308576;-0.0573023;-1.1495
0.308576;-0.0572023;-1.14951
0.308576;-0.0571023;-1.14952
0.308576;-0.0570023;-1.14953
0.308576;-0.0569023;-1.14954
0.308576;-0.0568023;-1.14955
0.308576;-0.0567023;-1.14956
0.308576;-0.0566023;-1.14947
0.308576;-0.0565023;-1.14948
0.308576;-0.0564023;-1.14949
0.308576;-0.0563023;-1.1495
0.308576;-0.0562023;-1.14951
0.308576;-0.0561023;-1.14953
0.308576;-0.0560023;-1.14954
0.308576;-0.0559023;-1.14955
0.308576;-0.0558023;-1.14956
0.308576;-0.0557023;-1.14958
0.308576;-0.0556024;-1.14935
0.308576;-0.0555024;-1.14936
0.308576;-0.0554024;-1.14938
0.308576;-0.0553024;-1.14939
0.308576;-0.0552024;-1.14941
0.308576;-0.0551023;-1.14942
0.308576;-0.0550023;-1.14944
0.308576;-0.0549023;-1.14945
0.308576;-0.0548023;-1.14947
0.308576;-0.0547023;-1.14945
0.308576;-0.0546023;-1.14946
0.308576;-0.0545023;-1.14948
0.308576;-0.0544023;-1.14949
0.308576;-0.0543023;-1.14951
0.308576;-0.0542023;-1.14953
0.308576;-0.0541023;-1.14954
0.308576;-0.0540023;-1.14956
0.308576;-0.0539023;-1.14957
0.308576;-0.0538023;-1.14959
0.308576;-0.0537024;-1.1487
0.308576;-0.0536024;-1.14873
0.308576;-0.0535024;-1.14876
0.308576;-0.0534023;-1.14879
0.308576;-0.0533023;-1.14882
0.308576;-0.0532023;-1.14885
0.308576;-0.0531023;-1.14888
0.308576;-0.0530023;-1.14891
0.308576;-0.0529023;-1.14894
0.308576;-0.0528023;-1.14897
0.308576;-0.0527023;-1.149
0.308576;-0.0526023;-1.14902
0.308576;-0.0525023;-1.14905
0.308576;-0.0524023;-1.14908
0.308576;-0.0523023;-1.14911
0.308576;-0.0522023;-1.14914
0.308576;-0.0521023;-1.14917
0.308576;-0.0520023;-1.1492
0.308576;-0.0519023;-1.14923
0.308576;-0.0518023;-1.14926
0.308577;-0.0517024;-1.14941
0.308577;-0.0516024;-1.14944
0.308577;-0.0515024;-1.14947
0.308577;-0.0514024;-1.14937
0.308577;-0.0513024;-1.1494
0.308576;-0.0512023;-1.14933
0.308576;-0.0511023;-1.14936
0.308576;-0.0510023;-1.14939
0.308576;-0.0509023;-1.14943
0.308576;-0.0508023;-1.14946
0.308576;-0.0507023;-1.14949
0.308576;-0.0506023;-1.14952
0.308576;-0.0505023;-1.14955
0.308576;-0.0504023;-1.14958
0.308576;-0.0503023;-1.14961
0.308576;-0.0502023;-1.14964
0.308576;-0.0501023;-1.14967
0.308576;-0.0500023;-1.1497
0.308576;-0.0499023;-1.14973
0.308576;-0.0498024;-1.14976
0.308576;-0.0497024;-1.14979
0.308576;-0.0496024;-1.14982
0.308576;-0.0495024;-1.14985
0.308576;-0.0494023;-1.14988
0.308576;-0.0493023;-1.14991
0.308576;-0.0492023;-1.14994
0.308576;-0.0491023;-1.14997
0.308576;-0.0490023;-1.15
0.308576;-0.0489023;-1.15003
0.308576;-0.0488023;-1.15042
0.308576;-0.0487023;-1.15045
0.308576;-0.0486023;-1.15047
0.308576;-0.0485023;-1.1505
0.308576;-0.0484023;-1.15052
0.308576;-0.0483023;-1.15055
0.308576;-0.0482023;-1.15057
0.308576;-0.0481023;-1.1506
0.308576;-0.0480023;-1.15062
0.308576;-0.0479023;-1.15065
0.308576;-0.0478024;-1.15026
0.308576;-0.0477024;-1.1503
0.308576;-0.0476024;-1.15033
0.308576;-0.0475024;-1.15036
0.308576;-0.0474023;-1.15039
0.308576;-0.0473023;-1.15042
0.308576;-0.0472023;-1.15046
0.308576;-0.0471023;-1.15049
0.308576;-0.0470023;-1.15052
0.308576;-0.0469023;-1.15055
0.308576;-0.0468023;-1.15073
0.308576;-0.0467023;-1.15075
0.308576;-0.0466023;-1.15078
0.308576;-0.0465023;-1.15081
0.308576;-0.0464023;-1.15084
0.308576;-0.0463023;-1.15086
0.308576;-0.0462023;-1.15089
0.308576;-0.0461023;-1.15092
0.308576;-0.0460023;-1.15094
0.308576;-0.0459023;-1.15097
0.308576;-0.0458024;-1.15054
0.308576;-0.0457024;-1.15057
0.308576;-0.0456024;-1.15061
0.308576;-0.0455023;-1.15064
0.308576;-0.0454023;-1.15068
0.308576;-0.0453023;-1.15071
0.308576;-0.0452023;-1.15075
0.308576;-0.0451023;-1.15078
0.308576;-0.0450023;-1.15082
0.308576;-0.0449023;-1.15082
0.308576;-0.0448023;-1.15085
0.308576;-0.0447023;-1.15089
0.308576;-0.0446023;-1.15092
0.308576;-0.0445023;-1.15096
0.308576;-0.0444023;-1.151
0.308576;-0.0443023;-1.15103
0.308576;-0.0442023;-1.15107
0.308576;-0.0441023;-1.1511
0.308576;-0.0440023;-1.15114
0.308576;-0.0439024;-1.15122
0.308576;-0.0438024;-1.15126
0.308576;-0.0437024;-1.15129
0.308576;-0.0436024;-1.15133
0.308576;-0.0435023;-1.15136
0.308576;-0.0434023;-1.1514
0.308576;-0.0433023;-1.15144
0.308576;-0.0432023;-1.15147
0.308576;-0.0431023;-1.15151
0.308576;-0.0430023;-1.15154
0.308576;-0.0429023;-1.15162
0.308576;-0.0428023;-1.15165
0.308576;-0.0427023;-1.15169
0.308576;-0.0426023;-1.15173
0.308576;-0.0425023;-1.15176
0.308576;-0.0424023;-1.1518
0.308576;-0.0423023;-1.15184
0.308576;-0.0422023;-1.15187
0.308576;-0.0421023;-1.15191
0.308576;-0.0420023;-1.15194
0.308576;-0.0419024;-1.15162
0.308576;-0.0418024;-1.15166
0.308576;-0.0417024;-1.1517
0.308576;-0.0416024;-1.15174
0.308576;-0.0415023;-1.15178
0.308576;-0.0414023;-1.15182
0.308576;-0.0413023;-1.15186
0.308576;-0.0412023;-1.1519
0.308576;-0.0411023;-1.15194
0.308576;-0.0410023;-1.15234
0.308576;-0.0409023;-1.15237
0.308576;-0.0408023;-1.15241
0.308576;-0.0407023;-1.15244
0.308576;-0.0406023;-1.15248
0.308576;-0.0405023;-1.15252
0.308576;-0.0404023;-1.15255
0.308576;-0.0403023;-1.15259
0.308576;-0.0402023;-1.15263
0.308576;-0.0401023;-1.15266
0.308576;-0.0400024;-1.15222
0.308576;-0.0399024;-1.15227
0.308576;-0.0398024;-1.15231
0.308576;-0.0397024;-1.15236
0.308576;-0.0396024;-1.1524
0.308576;-0.0395023;-1.15245
0.308576;-0.0394023;-1.1525
0.308576;-0.0393023;-1.15254
0.308576;-0.0392023;-1.15259
0.308576;-0.0391023;-1.15263
0.308576;-0.0390023;-1.15267
0.308576;-0.0389023;-1.15272
0.308576;-0.0388023;-1.15276
0.308576;-0.0387023;-1.15265
0.308576;-0.0386023;-1.1527
0.308576;-0.0385023;-1.15275
0.308576;-0.0384023;-1.1528
0.308576;-0.0383023;-1.15285
0.308576;-0.0382023;-1.15291
0.308576;-0.0381023;-1.15296
0.308576;-0.0380024;-1.15248
0.308576;-0.0379024;-1.15255
0.308576;-0.0378024;-1.15261
0.308576;-0.0377024;-1.15267
0.308576;-0.0376024;-1.15273
0.308576;-0.0375023;-1.15279
0.308576;-0.0374023;-1.15285
0.308576;-0.0373023;-1.15291
0.308576;-0.0372023;-1.15298
0.308576;-0.0371023;-1.15348
0.308576;-0.0370023;-1.15353
0.308576;-0.0369023;-1.15358
0.308576;-0.0368023;-1.15364
0.308576;-0.0367023;-1.15369
0.308576;-0.0366023;-1.15374
0.308576;-0.0365023;-1.15379
0.308576;-0.0364023;-1.15385
0.308576;-0.0363023;-1.1539
0.308576;-0.0362023;-1.15395
0.308576;-0.0361024;-1.1533
0.308576;-0.0360024;-1.15337
0.308576;-0.0359024;-1.15274
0.308576;-0.0358024;-1.15282
0.308576;-0.0357024;-1.1529
0.308576;-0.0356023;-1.15298
0.308576;-0.0355023;-1.15306
0.308576;-0.0354023;-1.15314
0.308576;-0.0353023;-1.15322
0.308576;-0.0352023;-1.15382
0.308576;-0.0351023;-1.15389
0.308576;-0.0350023;-1.15396
0.308576;-0.0349023;-1.1527
0.308576;-0.0348023;-1.1528
